codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
01.1.754.1244,PMSP/SMSUB - Asfalto Novo II,2025,5,
01.1.754.1376,PMSP-SF/PROJETO CORREDOR ARICANDUVA-BANCO MUNDIAL,2025,5,
01.1.754.1414,PMSP- SF/PROJETO CORREDOR ARICANDUVA - BANCO MUNDIAL,2025,5,
01.1.754.1482,PMSP- SF/PMSP/Ônibus Elétrico-BB-Opcred SF 02/23,2025,5,
01.1.754.1483,PMSP- SF/PMSP/Ônibus Elétrico-BB-Opcred SF 03/23,2025,5,
01.1.754.1493,PMSP- Ônibus Elétrico- CEF,2025,5,
01.1.754.1499,PMSP- SF/PMSP/ Ônibus Elétrico-BNDES-Opcred SF 04/23,2025,5,
01.1.754.1507,PMSP- SF/Ônibus Elétrico-FINAME/BNDES-Opcred SF 04/23,2025,5,
01.1.754.1530,PMSP- SF/Onibus Elétrico-BB-Opcred SF 01/24 - 21.180-X,2025,5,
01.1.754.1580,PMSP-SF/Pode Entrar-CEF-Opcred SF 02/24 ,2025,5,
01.1.754.1631, PMSP-SMSUB/Recape 2024,2025,5,
01.1.754.1643,PMSP- SF/PodeEntrar-Opcred SF 04/24,2025,5,
01.1.754.1644,PMSP- SF/PodeEntrarItau-Opcred SF 04/24,2025,5,
01.1.754.1654,PMSP- SF/PodeEntrar-Santander Opcred SF 04/24 - 45.000.615-2,2025,5,
01.1.754.1908,Operação de Crédito - PMSP-SIURB/Córrego Freitas–SANEAMENTO PARA TODOS,2025,5,
01.1.754.1909,Operação de Crédito - PMSP-SIURB/BRT Radial Leste–PRÓ-TRANSPORTE - CEF,2025,5,
01.1.754.1911,PMSP-SF/PNAFM III Reembolsos - 22.947-4,2025,5,
01.1.754.1970,PMSP-SMT/Ônibus Elétrico – BID - 23.331-5,2025,5,
01.1.754.1971,PMSP-SMT/Ônibus Elétrico – BIRD - 23.332-3,2025,5,
01.1.754.9999,Fontes Restos/Migração-Saldo 2022,2025,5,
01.2.634.1225,PMSP-SF/Avança Saúde SP - Contrato nº 4641/OC-BR - BID,2025,5,
01.2.754.0076,PMSP - VLP / Prog Prior Inv de Transporte do Mun S.P,2025,5,
01.2.754.0290,PMSP-2ª Etapa do Programa Prioritário de Investimento de Transporte do,2025,5,
01.2.754.1000,PMSP-SF/Programa de Modernização da Administração Tributária-PMAT 2015,2025,5,
01.2.754.1061,PMSP-SF/PNAFM II ,2025,5,
01.2.754.1200,PMSP/SMPR-Asfalto Novo,2025,5,
01.2.754.1202,PMSP/SEHAB-Programa Habitacional Casa da Família,2025,5,
01.2.754.1211,PMSP-SF - PNAFM III,2025,5,
01.2.754.1229,PMSP-SIURB/Saneamento-Avançar Perus/Mooca-Contrato nº 0505.972-67/18,2025,5,
01.2.754.1244,PMSP/SMSUB - Asfalto Novo II,2025,5,
